,Unnamed: 0,RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
0,0,6181,New York,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457300.0,462700.0,466200.0,465600.0,469500.0,471300.0,468600.0,469500.0,470800.0,476700.0,471700.0,457000.0,447600.0,442700.0,447800.0,450900.0,459200.0,470800.0,477600.0,484300.0,482400.0,487100.0,492200.0,503200.0,498800.0,492800.0,475700.0,477100.0,480400.0,483400.0,481800.0,474600.0,483000.0,489100.0,499000.0,485700.0,481700.0,474000.0,485900.0,483900.0,481000.0,481500.0,491800.0,500500.0,500700.0,496100.0,489500.0,492300.0,493700.0,503200.0,506600.0,507300.0,508700.0,509700.0,517300.0,519300.0,522600.0,524500.0,528600.0,533300.0,538400.0,527200.0,547200.0,549900.0,560200.0,538800.0,536200.0,532900.0,528900.0,522900.0,530400.0,533600.0,536100.0,533000.0,531400.0,534000.0,534600.0,543300.0,544200.0,556500.0,552500.0,552400.0,540900.0,543100.0,544800.0,555000.0,553200.0,559400,555700,556300,547000,544300,548100,558700,560700,563100,564200,557700,561100,560100,571000.0,559800.0,563200.0,570500.0,572800.0,569900.0,560800.0,571500.0,575100.0,571700.0,568300.0,573600.0
1,1,12447,Los Angeles,California,2,507600.0,489600.0,463000.0,453100.0,438100.0,423200.0,407800.0,396300.0,384400.0,370500.0,356100.0,347600.0,342600.0,333900.0,325600.0,327400.0,332700.0,338700.0,342500.0,345300.0,348600.0,352300.0,359600.0,363900.0,360600.0,354100.0,351800.0,350900.0,352100.0,348300.0,350700.0,348500.0,350800.0,353400.0,350300.0,353000.0,344300.0,347400.0,342900.0,343500.0,340700.0,338600.0,336500.0,329600.0,326900.0,325300.0,326600.0,328200.0,328900.0,333300.0,331800.0,336100.0,342300.0,351200.0,361000.0,364000.0,373400.0,388900.0,398100.0,411100.0,413200.0,428000.0,436200.0,449400.0,461600.0,465600.0,469600.0,469800.0,465900.0,457600.0,446200.0,448900.0,448400.0,454800.0,456200.0,457800.0,461000.0,462500.0,466400.0,469700.0,469600.0,473800.0,474100.0,482000.0,485700.0,491700.0,489000.0,490100.0,493300.0,502700.0,503600.0,499000.0,497200.0,509100.0,518900.0,524700.0,520700.0,525900.0,530000.0,531700.0,531100.0,532100.0,537800.0,536100.0,540400.0,537900.0,548700.0,548100.0,554400.0,550900.0,556100.0,561500.0,567400.0,567900.0,572700.0,581600.0,600100.0,608300.0,611000.0,616800.0,624000,631300,629100,635300,633600,638900,642700,660300,671400,673400,680800,684300,699200,702700.0,703800.0,706800.0,711800.0,717300.0,714100.0,711900.0,718400.0,727100.0,738200.0,760200.0,
3,3,17426,Chicago,Illinois,4,325100.0,314800.0,286900.0,274600.0,268500.0,264400.0,267100.0,268400.0,259700.0,253400.0,242500.0,248100.0,244800.0,237900.0,223400.0,214600.0,216600.0,219900.0,222300.0,221900.0,225800.0,224100.0,229600.0,222400.0,218900.0,211900.0,214600.0,217800.0,206800.0,194500.0,180100.0,185400.0,190000.0,190400.0,188500.0,189400.0,186300.0,177700.0,167900.0,174700.0,182900.0,189300.0,190000.0,189800.0,180500.0,175000.0,169200.0,173400.0,171400.0,174000.0,175500.0,183800.0,188700.0,191600.0,194300.0,188300.0,187900.0,180700.0,184900.0,185400.0,188700.0,191400.0,198900.0,213600.0,223800.0,230700.0,228100.0,232600.0,230500.0,227600.0,223800.0,229800.0,231900.0,232700.0,232000.0,239900.0,239300.0,242300.0,246600.0,251200.0,250900.0,247000.0,248800.0,248900.0,250300.0,252800.0,251300.0,247200.0,238200.0,230600.0,227000.0,222200.0,212400.0,210400.0,208400.0,214800.0,211000.0,212200.0,214300.0,215800.0,219300.0,219000.0,221500.0,223900.0,231000.0,240300.0,245700.0,241800.0,236900.0,229500.0,225200.0,219800.0,216800.0,219500.0,217600.0,220900.0,221900.0,227300.0,230400.0,238500.0,247400,250000,244600,242100,248600,254400,256800,253600,256600,237600,245700,263200,290800,292000.0,276000.0,271500.0,266500.0,264900.0,265000.0,264100.0,264300.0,270000.0,281400.0,302900.0,309200.0
8,8,54296,San Diego,California,9,416600.0,404600.0,395500.0,381300.0,370900.0,356700.0,348500.0,335200.0,324100.0,313700.0,300100.0,302100.0,295100.0,293600.0,290400.0,306400.0,320500.0,330400.0,338500.0,344700.0,343500.0,345400.0,338800.0,341700.0,340700.0,346200.0,345200.0,342600.0,343600.0,344700.0,346900.0,350200.0,358100.0,357900.0,345200.0,335700.0,331300.0,339700.0,340200.0,335900.0,331300.0,324700.0,323100.0,323500.0,324800.0,328300.0,324100.0,323700.0,328600.0,336600.0,346300.0,349500.0,359000.0,363300.0,365100.0,368800.0,377300.0,387800.0,392700.0,394400.0,399300.0,407700.0,421200.0,425200.0,427700.0,425000.0,433200.0,434300.0,435500.0,435400.0,436900.0,438400.0,438300.0,439700.0,443200.0,444500.0,448000.0,453600.0,460000.0,467200.0,466800.0,466000.0,464700.0,473600.0,480500.0,481000.0,476200.0,475700.0,479800.0,480600.0,473300.0,470100.0,474700.0,489200.0,498300.0,497300.0,487800.0,491500.0,495400.0,501500.0,501600.0,504200.0,508200.0,517300.0,522700.0,523900.0,526600.0,535000.0,541100.0,534700.0,529200.0,534400.0,540900.0,545700.0,545000.0,550800.0,563600.0,573400.0,576100.0,573000.0,578500,584100,591000,593500,591900,592700,594800,593200,588600,583400,589300,595300,596300,598000.0,594200.0,596300.0,595300.0,600500.0,600800.0,607000.0,613300.0,618300.0,617000.0,619200.0,
14,14,20330,San Francisco,California,15,802500.0,799700.0,800400.0,798200.0,795100.0,796900.0,796800.0,757200.0,717900.0,707600.0,690900.0,681000.0,640000.0,650900.0,656900.0,682500.0,698800.0,704500.0,711600.0,707600.0,705500.0,715600.0,708300.0,695300.0,674000.0,675700.0,674100.0,672200.0,676900.0,695200.0,700700.0,692500.0,689100.0,687200.0,678500.0,654300.0,644400.0,643300.0,665300.0,665100.0,681000.0,680400.0,686100.0,676200.0,662400.0,652500.0,651300.0,656100.0,657200.0,669200.0,680400.0,698200.0,705700.0,723300.0,749700.0,770900.0,780300.0,784400.0,781600.0,781900.0,787500.0,803000.0,826800.0,830300.0,841000.0,850200.0,870700.0,870300.0,870100.0,871100.0,914000.0,933300.0,950900.0,925300.0,923200.0,942000.0,962200.0,979300.0,973100.0,986500.0,1011100.0,1018200.0,1026200.0,1044700.0,1073500.0,1100800.0,1118900.0,1125600.0,1129100.0,1107400.0,1109200.0,1108300.0,1131200.0,1154200.0,1188200.0,1190600.0,1170900.0,1154300.0,1146800.0,1153700.0,1148900.0,1149600.0,1150500.0,1173000.0,1175800.0,1191000.0,1118900.0,1129900.0,1121300.0,1181100.0,1184100.0,1207300.0,1213900.0,1233300.0,1246800.0,1269800.0,1285700.0,1279400.0,1296500.0,1287100.0,1313200,1302000,1318400,1311800,1317100,1329700,1342500,1341100,1315000,1326300,1306900,1313200,1303900,1336900.0,1335400.0,1342300.0,1358000.0,1386200.0,1405100.0,1349400.0,1332900.0,1297300.0,1348600.0,1364300.0,
23,23,16037,Seattle,Washington,24,413000.0,412700.0,414600.0,410300.0,401900.0,396500.0,396600.0,399900.0,398400.0,402700.0,402400.0,396500.0,378100.0,361100.0,355700.0,358500.0,364500.0,368300.0,371400.0,376700.0,373300.0,378000.0,381600.0,385900.0,381900.0,375100.0,373700.0,365800.0,373400.0,382400.0,397100.0,389200.0,382300.0,378700.0,384000.0,384800.0,376500.0,369500.0,361500.0,355100.0,356600.0,357500.0,365100.0,358700.0,355000.0,348900.0,345000.0,342500.0,347400.0,364700.0,378400.0,380800.0,378900.0,379500.0,383100.0,383700.0,389400.0,391700.0,388400.0,387600.0,396700.0,401700.0,404100.0,398100.0,405900.0,408600.0,416700.0,417100.0,419100.0,417400.0,420600.0,421400.0,415300.0,410500.0,414500.0,424700.0,431400.0,427000.0,431000.0,434500.0,437500.0,439800.0,440500.0,443600.0,443600.0,453000.0,459400.0,468600.0,463700.0,476800.0,473200.0,480200.0,480700.0,499400.0,509700.0,513500.0,514200.0,516000.0,522400.0,529300.0,527300.0,528000.0,527600.0,542000.0,557400.0,565900.0,576800.0,583300.0,589900.0,596200.0,599000.0,612500.0,626400.0,642800.0,647700.0,650300.0,652900.0,660900.0,677200.0,690100.0,700200,704100,707500,700800,693200,687300,696400,696400,696300,687300,673900,669800,673200,689200.0,696000.0,699000.0,690700.0,690800.0,684800.0,697300.0,692100.0,701700.0,701400.0,705600.0,
25,25,44269,Boston,Massachusetts,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391800.0,399900.0,397900.0,392300.0,389800.0,390500.0,391600.0,397300.0,398900.0,408700.0,408400.0,415100.0,415500.0,418600.0,422400.0,427400.0,434000.0,440400.0,439800.0,439900.0,433400.0,440400.0,437900.0,442200.0,441800.0,443900.0,441400.0,439600.0,442700.0,448600.0,455200.0,465300.0,481900.0,489400.0,481600.0,479400.0,475000.0,487800.0,491300.0,501000.0,504700.0,507300.0,508800.0,506800.0,507300.0,505600.0,513800.0,512900.0,534000.0,538500.0,547800.0,540500.0,528100.0,520500.0,521200.0,551500.0,561900.0,564200.0,558000.0,561100.0,564700.0,561300.0,562500.0,564500.0,577000.0,580700.0,594300.0,583200.0,607300.0,594900,612000,602500,618000,621000,623700,623900,617700,624500,625400,634100,637000,635300,638200.0,634000.0,636600.0,653000.0,648900.0,651000.0,638900.0,634800.0,636000.0,644300.0,665400.0,692200.0
48,48,19594,New Orleans,Louisiana,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162100.0,163600.0,156900.0,151000.0,153000.0,149600.0,155000.0,154000.0,158700.0,157600.0,161200.0,165900.0,172600.0,169600.0,168700.0,156400.0,150300.0,146000.0,154100.0,167500.0,162000.0,161600.0,157400.0,169500.0,172200.0,170900.0,169700.0,176600.0,176100.0,179100.0,175400.0,182100.0,181100.0,189300.0,185200.0,178400.0,168900.0,168900.0,164000.0,156700.0,165200.0,177000.0,181600.0,170300.0,173300.0,176800.0,183900.0,172100.0,172900.0,173900.0,180200.0,178100.0,180900.0,179800.0,188500.0,184600.0,184800.0,178100.0,186700.0,189800.0,191900.0,186900.0,184700.0,191900.0,189100.0,197300.0,179400,182400,176400,191400,184200,186300,178900,191300,196000,205500,204900,194300,192400,191500.0,209800.0,210500.0,209100.0,213400.0,205200.0,214800.0,214600.0,237500.0,250700.0,248100.0,249000.0
83,83,25320,Jersey City,New Jersey,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349600.0,352900.0,349100.0,362100.0,377600.0,389500.0,387000.0,389300.0,384500.0,394500.0,398500.0,417400.0,405900.0,403300.0,399300.0,406300.0,409200.0,426300.0,429700.0,438500,425500,431200,412000,421300,429100,444600,431100,417700,415800,429500,454900,472600,459900.0,448400.0,445700.0,464700.0,455600.0,449600.0,447300.0,469500.0,479700.0,498200.0,517400.0,583600.0
390,390,50779,Asheville,North Carolina,391,195400.0,201400.0,197800.0,201300.0,194600.0,194600.0,198100.0,197800.0,195600.0,179200.0,189900.0,188200.0,197200.0,184700.0,182500.0,175300.0,176500.0,170100.0,176600.0,175500.0,182400.0,188000.0,190600.0,186400.0,176100.0,175000.0,179000.0,180400.0,181600.0,183200.0,189700.0,186100.0,186100.0,193500.0,202200.0,196000.0,177200.0,183900.0,191100.0,189700.0,171600.0,168400.0,179400.0,181400.0,183500.0,183100.0,189800.0,184400.0,177600.0,177300.0,180500.0,189400.0,186600.0,185200.0,180100.0,179600.0,180700.0,191400.0,200800.0,210200.0,197300.0,193700.0,186600.0,191600.0,197200.0,202000.0,202200.0,189600.0,189400.0,187600.0,191800.0,181900.0,183700.0,188600.0,199400.0,202100.0,200400.0,205200.0,206100.0,208500.0,203500.0,211400.0,209000.0,211600.0,204800.0,202900.0,209600.0,215200.0,219700.0,213900.0,214300.0,221400.0,214000.0,216500.0,220900.0,236500.0,241900.0,241200.0,237800.0,240100.0,244100.0,249500.0,251200.0,252300.0,255600.0,251200.0,251800.0,250500.0,254600.0,259000.0,266500.0,264500.0,258400.0,261200.0,268800.0,275100.0,270400.0,278900.0,283500.0,288100.0,288200,284800,286300,280500,284000,277700,272400,269400,282500,280600,273900,265200,270200,287000.0,285900.0,286600.0,279500.0,279700.0,285000.0,284700.0,289900.0,290100.0,299800.0,309000.0,310900.0
2805,2805,33300,Pacific Grove,California,2806,,,,,,,,,,,,,,,,,,,,,,,,,,,590300.0,581900.0,581100.0,618900.0,609000.0,609400.0,591200.0,600500.0,578800.0,548500.0,572500.0,567500.0,580200.0,527300.0,517300.0,521600.0,529100.0,544100.0,497900.0,463100.0,461100.0,505300.0,514900.0,509500.0,548000.0,594000.0,590600.0,558300.0,539200.0,575400.0,593200.0,631700.0,624900.0,631800.0,619800.0,631600.0,615100.0,630700.0,653500.0,684700.0,693800.0,696500.0,667100.0,647400.0,652000.0,698300.0,682900.0,680400.0,657900.0,692100.0,699300.0,694700.0,675000.0,654500.0,675500.0,678000.0,679100.0,741700.0,771000.0,784200.0,744800.0,716800.0,704700.0,692300.0,755600.0,791900.0,813100.0,824800.0,815900.0,808300.0,757900.0,763400.0,794100.0,825500.0,818400.0,804600.0,793800.0,783100.0,771800.0,792100.0,853500.0,1031200.0,1061700.0,1093400.0,894400.0,872300.0,821000.0,839900.0,816400.0,849300.0,832000.0,861400.0,854800.0,863100.0,868700,847400,877300,858500,904800,902000,917000,883700,929000,915600,912000,854600,842600,862000.0,929900.0,919600.0,947100.0,860100.0,898400.0,915800.0,945200.0,998400.0,951000.0,971500.0,963700.0
